id,name,spot_category_id,info,access,regular_holiday,address,public_link,img_url,user_id,weekday_open_time,weekday_close_time,weekend_open_time,weekend_close_time,fee
11,カップヌードルミュージアム(神奈川),2,カップヌードルの歴史や作り方を学んだり、体験できる空間です。オリジナルのカップヌードルの制作できたり、麺になりきって作られる工程をアトラクションとして楽しむこともできます。事前予約が必要なものもありますが、当日飛び込み参加できるものもあるので、是非一度足を運んでみてください。,みなとみらい駅徒歩8分,火曜日,〒231-0001 神奈川県横浜市中区新港2-3-4,https://www.cupnoodles-museum.jp/ja/yokohama/,,,10:00,18:00,10:00,18:00,500
12,横浜ランドマークタワー(神奈川),2,みなとみらいにあるショッピングモール複合施設です。レストラン、ショッピング、展望台、ホテルなどが一つのビルに併設されています。桜木町駅から屋根のついたブリッヂを通ることでほとんど濡れることなく、アクセスすることができます。雨の日に快適な空間でショッピングを楽しみたい人にはピッタリです。,みなとみらい駅徒歩3分,不定期,横浜市西区みなとみらい2-2-1,https://www.yokohama-landmark.jp/access/,,,11:00,20:00,11:00,20:00,0
13,三井アウトレットパーク木更津(千葉),2,たまには足を伸ばして、アウトレットモールに行くのはいかがですか？パーっと買い物したい方にはピッタリです。この施設はアウトレットモールの中でも比較的大きめで、300店舗ほど揃っています。さらにショッピングとレストラン、遊園地が併設されており、1日いても飽きることなく、楽しむことができます。,"東京湾アクアライン「木更津金田IC」から約1km,東京湾アクアライン連絡道「袖ヶ浦IC」から約4.5km",不定期,千葉県木更津市金田東3-1-1,https://mitsui-shopping-park.com/mop/kisarazu/,,,10:00,20:00,10:00,20:00,0
14,大慶園遊園地(千葉),2,遊園地なのに24時間営業！実は普通の遊園地ではないようです。ゲームセンターやカラオケ、バッティングセンター、本格ゴーカート、ビリヤードやダーツなどゲーム要素強めのエンタメが揃っています。1人で行くと寂しいですが、友人とがっつり遊びたい、ゲームバトルしたい，なんて思っている方にはピッタリです。,市川インターより　約２５分,,千葉県市川市大町358番地,http://www.daikeien.jp/,,,13:00,0:00,10:00,0:00,500
15,那須テディベア・ミュージアム(栃木),2,英国風の建物で、世界のテディベアの作品を見ることができます。1階はテディベアの展示、2階はジブリのトトロのぬいぐるみたちの展示です。ショップやカフェも充実しており，クマのマフィンやカプチーノなどが楽しめます。さらに館内にはいくつか撮影スポットもあり、インスタ映えの写真が撮れること、間違いなしです。,那須ICから車で5分,不定期,〒413-0232　静岡県伊東市八幡野1064-2,https://www.teddynet.co.jp/index.html,,,9:30,17:00,9:30,17:00,1500
16,豊島園　庭の湯(東京),3,お風呂、マッサージ、お食事処を併設しており、日頃の疲れを癒すのに最適です。露天風呂では1200平米の日本庭園を眺めながら、入浴することができます。さらに水着で入れるゾーンではアロマの香りに包まれ、カップルでも楽しめるスポットです。ただ、中学生未満は入場不可のため、子供連れの方は注意してください。, 豊島駅徒歩2分,なし,東京都練馬区向山3-25-1,https://www.seibu-leisure.co.jp/niwanoyu/index.html,,,10:00,23:00,10:00,23:00,2370
17,前野原温泉　さやの湯処(東京),3,館内は都心では珍しい、和を感じさせる高級感のある施設で、都会からのアクセスは抜群ながら、静かでホッとできる空間です。この施設は、創業者の邸宅をリフォームして作られたため、昭和の雰囲気の名残が感じられます。レストランも併設されており、庭園を眺めながら、美味しい和食を楽しむこともできます。,志村坂上駅徒歩約8分,なし,東京都板橋区前野町3-41-1,https://www.sayanoyudokoro.co.jp/,,,9:00,24:00,9:00,24:00,1120
18,スパラクーア(東京),3,温泉，サウナ、レストランを併設する、東京で人気のリラクゼーションスポットです。内装がオシャレで，バカンスに行ったような気分で、インスタ映え写真も撮れるので、女性に人気があります。また、アロマスチームサウナのロウリュウも本格的で、サウナ好きにはきっと気に入ってもらえるでしょう。,後楽園駅、水道橋駅、春日部駅徒歩　1-3分,不定期,〒112-0003 東京都文京区春日1丁目1-1,https://www.laqua.jp/spa/,,,10:00,24:00,10:00,24:00,2900
19,楽スパ鶴見(神奈川),3,遊べる要素の詰め込まれたお風呂。14種類のお風呂と、6種類の岩盤浴が楽しめます。またコミックも2万冊ほどあり、自由に読むことができます。そして何と言ってもレストランのメニューが豊富で、必ずと言っていいほど食べたいものが見つかる点は大きな魅力です。是非、友人や恋人と訪れてみてはいかがでしょうか。,川崎駅、武蔵小杉駅、鶴見駅より無料シャトルバス,なし,〒230-0004 神奈川県横浜市鶴見区元宮2-1-39,https://rakuspa.com/tsurumi/,,,10:00,24:00,10:00,24:00,2080
20,スパジアムジャポン(東京),3,都内からのアクセスは少し時間がかかるものの、コスパ神の温泉施設です。温泉や露天風呂、岩盤浴と全て揃っています。特にテント式のロウリュウは盛り上がるでしょう。温泉に入ってマンガを読みながら、ダラダラとゆっくりする休日を送りたい人にはピッタリです。レストランも併設されていますが、メニューが少なめです。,東久留米駅から西武バスで7分,なし,東京都東久留米市上の原2-7-7 ,https://www.spajapo.com/,,,8:00,24:00,8:00,24:00,950
21,那須ステンドグラス美術館(栃木),5,この施設では1800年代にイギリスやドイツなどで作られたステンドグラスを楽しむことができます。丈夫な石造りの壁に色鮮やかなステンドグラスがなんとも美しい空間を作り出します。日帰りで旅行に行くような気分を手軽に味わえる、魅力的な施設です。また、実際にステンドグラスのストラップを作ることもできます。,東北自動車道 那須IC(約3時間) 那須IC〜那須ステンドグラス美術館,なし,〒325-0302 栃木県那須郡那須町高久丙1790,https://sgm-nasu.com/,,,9:30,16:30,9:30,16:30,1300
22,東京サマーランド(東京),5,屋内プールと屋外プール、8本のスライダーと、関東最大級のプール施設です。プール施設の横には水着で遊ぶことが可能な遊園地も併設されており、1日中遊ぶことができます。屋台(レストラン)は洋食をメインに、軽食、デザート、主食など様々です。思いっきり遊びたい、夏を感じたい、そんなときにはピッタリです。,八王子駅バス30分,シーズン,〒197-0832 東京都あきる野市上代継 600,https://www.summerland.co.jp/,,,9:00,17:00,9:00,18:00,4200
23,コスモプラネタリウム渋谷(東京),5,プラネタリウムをリーズナブルに体験できる、学生向けのお出かけスポットです。館内にはレストランやカフェもあり、ゆっくり過ごすことも可能です。ただ、定休日が多いので気をつけてください。渋谷にはよく行くし、ショッピングも飽きてきたと思ったら、たまには新しい場所に行ってみるのも良いのではないでしょうか。,渋谷駅徒歩5分,月曜日,〒150-0031 東京都渋谷区桜丘町23-21,https://shibu-cul.jp/planetarium,,,10:00,20:00,10:00,20:00,600
